<<<<<<< HEAD
en,fr
The proportion of people who drive to work in areas with low walkability ranges from 71.2% to 95.7%. Montréal-Est has the lowest proportion with 71.2%.,"La proportion de personnes qui se rendent au travail en voiture dans des zones où le potentiel piétonnier est faible varie entre 71,2 % et 95,7 %. C'est à Montréal-Est que la proportion est la plus petite, soit 71,2 %."
The proportion of people who drive to work in areas with high walkability ranges from 24.9% in Le Plateau-Mont-Royal to 78.9% in Hampstead.,"La proportion de personnes qui se rendent au travail en voiture dans des zones à fort potentiel piétonnier varie de 24,9 % pour le Plateau-Mont-Royal à 78,9 % à Hampstead."
"Sainte-Julie has the highest proportion of people who commute less than 15 minutes to work, and has low active living potential (ALE class 1).",Sainte-Julie compte la plus forte proportion de personnes qui se rendent au travail en moins de 15 minutes dans les arrondissements ou municipalités ayant un faible potentiel de vie active (Indice AVA classe 1).
"Villeray-Saint-Michel-Parc-Extension and Rosemont-La Petite-Patrie have the lowest proportions of people who commute less than 15 minutes to work (11.2% and 11.9%, respectively) of areas with high walkability.","Villeray-Saint-Michel-Parc-Extension et Rosemont-La Petite-Patrie affichent les plus petites proportions de personnes qui se rendent au travail en moins de 15 minutes (respectivement 11,2 % et 11,9 %) parmi les régions où le potentiel piétonnier est élevé."
"Mont-Royal (medium active living potential) has the highest proportion (49.1%) of commutes to work between 15-30 minutes, while Mercier (low active living potential) has the lowest proportion for the same time (19.7%).","Le Mont-Royal (potentiel de vie active moyen) présente la plus grande proportion (49,1 %) de trajets domicile-travail de 15 à 30 minutes, tandis que le Mercier (faible potentiel de vie active) présente la plus faible proportion pour la même durée (19,7 %)."
"Rosemont-La Petite-Patrie (high active living potential) has the highest proportion (35.1%) of commutes to work between 30-45 minutes, while Sainte-Julie (low active living potential) has the lowest proportion for the same time (9.1%).","Rosemont-La Petite-Patrie (fort potentiel de vie active) a la plus grande proportion (35,1 %) de trajets domicile-travail de 30 à 45 minutes, tandis que Sainte-Julie (faible potentiel de vie active) a la plus petite proportion pour la même durée (9,1 %)."
"Léry (low active living potential) has the highest proportion (19.2%) of commutes to work between of up to 60 minutes, while Westmount (high active living potential) has the lowest proportion for the same time (5.5%).","Léry (faible potentiel de vie active) présente la plus grande proportion (19,2 %) de trajets domicile-travail d'une durée maximale de 60 minutes, tandis que Westmount (fort potentiel de vie active) présente la plus petite proportion pour la même durée (5,5 %)."
"Hampstead has the highest proportion of people with income greater than $100,000 (55.0%) of high walkable boroughs or municipalities, closely followed by Westmount (50.1%).","Hampstead a la plus grande proportion de personnes ayant un revenu supérieur à 100 000 $ (55,0 %) parmi les arrondissements ou municipalités avec un fort potentiel piétonnier, suivie de près par Westmount (50,1 %)."
"Sainte-Anne-de-Bellevue has the highest proportion of people with income greater than $100,000 (55.0%) of less walkable boroughs or municipalities, closely followed by Beaconsfield (59.7%).","Sainte-Anne-de-Bellevue compte la plus forte proportion de personnes ayant un revenu supérieur à 100 000 $ (55,0 %) parmi les arrondissements ou municipalités avec un faible potentiel piétonnier, suivie de près par Beaconsfield (59,7 %)."
"Montréal-Est has the highest proportion of people with income less than $50,000 (49.1%) of all boroughs or municipalities with low active living potential.","Montréal-Est compte la plus grande proportion de personnes ayant un revenu inférieur à 50 000 $ (49,1 %) de tous les arrondissements ou municipalités à faible potentiel de vie active."
"Villeray-Saint-Michel-Parc-Extension has the highest proportion of people with income less than $50,000 (57.7%) of all boroughs or municipalities with high active living potential.","Villeray-Saint-Michel-Parc-Extension compte la plus grande proportion de personnes ayant un revenu inférieur à 50 000 $ (57,7 %) de tous les arrondissements ou municipalités à fort potentiel de vie active."
"Sainte-Anne-de-Bellevue has the highest overall median income ($130,553) of any area with low active living potential, and Montréal-Est has the lowest ($50,413).","Sainte-Anne-de-Bellevue a le revenu médian global le plus élevé (130 553 $) de toutes les régions à faible potentiel de vie active, et Montréal-Est a le plus bas (50 413 $)."
Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of new immigrants (12%) of any borough with high active living potential (average ALE class >4 across the entire borough). It also has the highest proportion of immigrants in general (46.7%) for the same conditions.,"Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion de nouveaux immigrants (12 %) de tous les arrondissements à fort potentiel de vie active (classe AVA moyenne > 4 sur l'ensemble de l'arrondissement). Elle a également la plus forte proportion d'immigrants en général (46,7 %) pour les mêmes conditions."
"Senneville has the highest proportion of new immigrants (4.4%) of any borough or municipality with low active living potential, followed by L’Île-Bizard-Sainte-Geneviève (3.6%).","Senneville compte la plus forte proportion de nouveaux immigrants (4,4 %) de tous les arrondissements ou municipalités à faible potentiel de vie active, suivie de L'Île-Bizard-Sainte-Geneviève (3,6 %)."
9910 (20%) of immigrants living in areas with low walkability live in Terrebonne. 1040 of those people are new immigrants.,9910 (20 %) des immigrants vivant dans des zones à faible potentiel piétonnier vivent à Terrebonne. 1040 de ces personnes sont de nouveaux immigrants.
"25 percent of immigrants (76,190 people) living in areas with high walkability live in Côte-des-Neiges-Notre-Dame-de-Grâce. 19,605 of those people (25.7%) are new immigrants.","25 % des immigrants (76 190 personnes) vivant dans des secteurs à fort potentiel piétonnier habitent Côte-des-Neiges-Notre-Dame-de-Grâce. 19 605 de ces personnes (25,7 %) sont de nouveaux immigrants."
"302,195 immigrants live in areas with on average high walkability, while 48,635 immigrants live in areas with on average low walkability.","302 195 immigrants vivent dans des zones où le potentiel piétonnier est, en moyenne, élevé tandis que 48 635 immigrés vivent dans des zones où le potentiel piétionnier est, en moyenne, faible."
"Hampstead has the lowest proportion of renters (31.7%) of all areas with high active living potential, and Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion (73.7%).","Hampstead a la plus petite proportion de locataires (31,7 %) de tous les secteurs à fort potentiel de vie active, et Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion (73,7 %)."
"Montréal-Est has the highest proportion of tenants (56.1%) of all areas with low active living potential, followed by Mirabel with 29.3%.","Montréal-Est compte la plus grande proportion de locataires (56,1 %) de tous les secteurs à faible potentiel de vie active, suivie de Mirabel avec 29,3 %."
Kirkland has the lowest average rent ($125) of all areas with low walkability.,Kirkland a le loyer moyen le plus bas (125 $) de toutes les zones à faible potentiel piétonnier.
"Mercier has the highest average rent of almost $900 per month of all areas with low walkability, followed by Sainte-Julie with average rent of $875.","De tous les quartiers à faible potentiel piétionnier, Mercier a le loyer moyen le plus élevé, soit près de 900 $ par mois, suivi de Sainte-Julie avec un loyer moyen de 875 $."
"Villeray-Saint-Michel-Parc-Extension has the lowest average rent ($747) of all areas with high walkability, followed by Mercier-Hochelage-Maisonneuve ($761).","Villeray-Saint-Michel-Parc-Extension a le loyer moyen le plus bas (747 $) de tous les secteurs à forte potentiel piétonnier, suivi de Mercier-Hochelage-Maisonneuve (761 $)."
"Senneville has by far the highest average property value ($994,294.4) of all areas with low walkability, and Point-Calumet has the lowest average property value ($223,573.2).","Senneville a de loin la valeur moyenne des propriétés la plus élevée (994 294,4 $) de toutes les zones à faible potentiel piétonnier, et Point-Calumet a la valeur moyenne de propriété la plus basse (223 573,2 $)."
"Mercier-Hochelage-Maisonneuve has the lowest average property value ($337,844.8) of all areas with high active living potential, and Westmount has the highest value ($1,242,703.7).","Mercier-Hochelage-Maisonneuve a la plus basse valeur moyenne des propriétés (337 844,8 $) de tous les secteurs à fort potentiel de vie active, et Westmount a la valeur la plus élevée (1 242 703,7 $)."
"Montréal-Est has the highest proportion of unaffordable housing (29.4%) of all areas with low active living potential, and Sainte-Anne-de-Bellevue has the lowest proportion (10.1%).","Montréal-Est a la plus forte proportion de logements inabordables (29,4 %) de tous les secteurs à faible potentiel de vie active, et Sainte-Anne-de-Bellevue a la plus faible proportion (10,1 %)."
"Ville-Marie has the highest proportion of unaffordable housing (43.3%) of all areas with high active living potential, and Hampstead has the lowest (24.0%).","Ville-Marie a la plus grande proportion de logements inabordables (43,3 %) de tous les secteurs à fort potentiel de vie active, et Hampstead a la plus petite (24,0 %)."
"Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of unsuitable housing (14.2%) of any area with high active living potential, and Westmount has the lowest (4.4%).","Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion de logements inadéquats (14,2 %) de tous les secteurs à fort potentiel de vie active, et Westmount a la plus petite (4,4 %)."
"The top 3 boroughs that have the highest proportion of people living in census tracts with a low capacity for pedestrian social distancing were 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).","Les trois arrondissements ayant la plus grande proportion de personnes vivant dans des secteurs de recensement ayant une faible capacité de distanciation sociale des piétons sont 1) Le Plateau-Mont-Royal (74 %), 2) Villeray-Saint-Michel-Parc-Extension (65 %) et 3) Montréal Nord (60 %)."
"14.8% of Montreal Agglomeration's total population live in DAs with a pedestrian social distancing capacity below 25%. Of those, 76.31% were not directly serviced by the original May 15th expanded active transit plan, and 79.85% were not directly serviced by the revised July 25th plan.","14,8 % de la population totale de l'agglomération de Montréal vit dans des AD dont la capacité de distanciation sociale des piétons est inférieure à 25 %. De ce nombre, 76,31 % n'étaient pas directement desservis par le plan des Voies actives sécuritaires du 15 mai, et 79,85 % n'étaient pas directement desservis par le plan révisé du 25 juillet."
"The top 3 boroughs with the lowest proportion of its population commuting to work by car are Le Plateau-Mont-Royal (24.4%), Ville-Marie (26%) and Côte-des-Neiges-Notre-Dame-de-Grâce (40.6%).","Les trois arrondissements ayant la plus petite proportion de leur population se rendant au travail en voiture sont Le Plateau-Mont-Royal (24,4 %), Ville-Marie (26 %) et Côte-des-Neiges-Notre-Dame-de-Grâce (40,6 %)."
Montreal’s borough with the highest population density per square meter of walkable space is Côte-des-Neiges-Notre-Dame-de-Grâce (0.28 people / square meters of walkable space).,"L'arrondissement de Montréal ayant la plus forte densité de population par mètre carré de surface marchable est Côte-des-Neiges-Notre-Dame-de-Grâce (0,28 personne / mètre carré de surface marchable)."
"DAs with a capacity for pedestrian social distancing less than 25% contain, on average, a net median income of $44,773 compared to $54,930 for the city as a whole and $61,651 for DAs with over 100% capacity.","Les AD ayant une capacité de distanciation sociale des piétons inférieure à 25 % ont, en moyenne, un revenu net médian de 44 773 $, contre 54 930 $ pour l'ensemble de la ville et 61 651 $ pour les AD ayant une capacité supérieure à 100 %."
"DAs with a capacity for pedestrian social distancing less than 25% contain, on average, a 50.4% visible minority population compared to 32% for the city as a whole and 28% for DAs with over 100% capacity.","Les AD ayant une capacité de distanciation sociale des piétons inférieure à 25 % contiennent en moyenne 50,4 % de minorités visibles, contre 32 % pour l'ensemble de la ville et 28 % pour les AD ayant une capacité supérieure à 100 %."
"DAs with a capacity for pedestrian social distancing less than 25% contain, on average, a 45.25% immigrant population compared to 33% for the city as a whole and 30% for DAs with over 100% capacity.","Les AD ayant une capacité de distanciation sociale des piétons inférieure à 25% contiennent en moyenne 45,25% de population immigrante contre 33% pour l'ensemble de la ville et 30% pour les AD ayant une capacité supérieure à 100%."
"The top 3 boroughs or independent municipalities in the Montreal agglomeration with the lowest average sidewalk widths are 1) L’Île-Bizard-Sainte-Geneviève (0.48 meters), 2) Pierrefonds-Roxboro (0.67 meters) and 3) Dollard-des-Ormeaux (0.68 meters). More than 75% of trips to work in these three boroughs are done by car.","Les 3 arrondissements ou municipalités indépendantes de l'agglomération de Montréal ayant la plus petite largeur moyenne de trottoir sont 1) L'Île-Bizard-Sainte-Geneviève (0,48 mètre), 2) Pierrefonds-Roxboro (0,67 mètre) et 3) Dollard-des-Ormeaux (0,68 mètre). Plus de 75 % des déplacements domicile-travail dans ces trois arrondissements se font en voiture."
"Le Plateau-Mont-Royal is the borough with the highest average sidewalk width at 3.05 meters. However, 35% of boroughs or independent municipalities in Montreal’s agglomeration have lower population densities per square meter of sidewalk space than the Plateau-Mont-Royal. Further, 62% of boroughs or independent municipalities in Montreal's agglomeration have lower population densities per square meter of total walkable space than the Plateau-Mont-Royal. Only 24% of residents in the Plateau-Mont-Royal commute to work by car.","Le Plateau-Mont-Royal est l'arrondissement où la largeur moyenne des trottoirs est la plus élevée, soit 3,05 mètres. Toutefois, 35 % des arrondissements ou des municipalités indépendantes de l'agglomération de Montréal ont une densité de population par mètre carré de trottoir inférieure à celle du Plateau-Mont-Royal. De plus, 62 % des arrondissements ou des municipalités indépendantes de l'agglomération de Montréal ont une densité de population par mètre carré de surface marchable totale inférieure à celle du Plateau-Mont-Royal. Seulement 24 % des résidents du Plateau-Mont-Royal se rendent au travail en voiture."
"The highest average rent in Montreal is in Westmount, at $1269.1 per month, followed by Outremont at $1137.1 per month.","Le loyer moyen le plus élevé à Montréal se trouve à Westmount, à 1269,1 $ par mois, suivi d'Outremont, à 1177,1 $ par mois."
"The lowest average rent in Montreal is in Kirkland, at $124.7 per month.","Le loyer moyen le plus bas à Montréal se trouve à Kirkland, à 124,7 $ par mois."
"Westmount has the highest average property value ($1,242,703.7), followed by Hampstead ($1,125,655.9).","Westmount a la valeur moyenne des propriétés la plus élevée (1 242 703,7 $), suivie de Hampstead (1 125 655,9 $)."
"The lowest average property value in Montreal ($223,573.2) can be found in Pointe-Calumet.","La valeur moyenne des propriétés la plus basse à Montréal (223 573,2 $) se trouve à Point-Calumet."
"Baie-d'Urfé has the lowest proportion of tenants, at 2.6%, followed by Lorraine with 2.7%.","Baie-d'Urfé a la plus petite proportion de locataires, avec 2,6%, suivie par la Lorraine avec 2,7%."
"Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of tenants (73.7%), closely followed by Ville-Marie (73.0%) and Le Plateau-Mont-Royal (72.8%).","Côte-des-Neiges-Notre-Dame-de-Grâce a la plus grande proportion de locataires (73,7 %), suivie de près par Ville-Marie (73,0 %) et Le Plateau-Mont-Royal (72,8 %)."
The top 10th percentile of tenant proportion in Montreal falls above 64.7%.,"Le 90e percentile de la proportion de locataires à Montréal se situe au-dessus de 64,7 %."
"Sainte-Anne-de-Bellevue has the lowest proportion of unaffordable housing at 10.1%, followed by Mercier with 10.3% unaffordable housing.","Sainte-Anne-de-Bellevue a la plus petite proportion de logements inabordables avec 10,1%, suivie de Mercier avec 10,3% de logements inabordables."
Ville-Marie has the highest proportion of unaffordable housing at 43.3%. Le Plateau-Mont-Royal falls just behind with 38.1% unaffordable housing.,"C'est à Ville-Marie que l'on trouve la plus forte proportion de logements inabordables, soit 43,3 %. Le Plateau-Mont-Royal se situe juste derrière avec 38,1 % de logements inabordables."
The top 10 percentile of Montreal has more than 31.2% unaffordable housing.,"Le 90e percentile de Montréal compte plus de 31,2 % de logements inabordables."
"Sainte-Anne-de-Bellevue, Saint-Bruno-de-Montarville, Sainte-Julie, and Léry have 0% unsuitable housing.","Sainte-Anne-de-Bellevue, Saint-Bruno-de-Montarville, Sainte-Julie et Léry ont 0% de logements de taille non convenable."
"Saint-Laurent has the highest proportion of unsuitable housing at 15.0%, followed by Côte-des-Neiges-Notre-Dame-de-Grâce at 14.2%.","Saint-Laurent présente la plus forte proportion de logements de taille non convenable avec 15,0 %, suivi de Côte-des-Neiges-Notre-Dame-de-Grâce avec 14,2 %."
"Half of areas in Montreal have more than 2.9% unsuitable housing, 30% have more than 5.2% unsuitable housing, and 10% have more than 8.2% unsuitable housing.","La moitié des quartiers de Montréal ont plus de 2,9 % de logements de taille non convenable, 30 % ont plus de 5,2 % de logements de taille non convenable et 10 % en ont plus de 8,2 %."
"Montréal-Nord has the highest proportion of people with an annual income of less than $50,000 at 59.5%, closely followed by Villeray-Saint-Michel-Parc-Extension (57.7%) and Ville-Marie (57.6%).","Montréal-Nord compte la plus grande proportion de personnes ayant un revenu annuel inférieur à 50 000 $, soit 59,5 %, suivie de près par Villeray-Saint-Michel-Parc-Extension (57,7 %) et Ville-Marie (57,6 %)."
"Sainte-Anne-de-Bellevue has the lowest proportion of people with an annual income of less than $50,000 at 7.4%.","Sainte-Anne-de-Bellevue a la plus petite proportion de personnes ayant un revenu annuel inférieur à 50 000 $, soit 7,4 %."
"Sainte-Anne-de-Bellevue has the highest proportion of people with an annual income of more than $100,000 at 65.4%, and Montreal-Nord has the lowest (9.7%).","Sainte-Anne-de-Bellevue a la plus grande proportion de personnes ayant un revenu annuel supérieur à 100 000 $, soit 65,4 %, et Montréal-Nord a la plus petite (9,7 %)."
"Sainte-Anne-des-Plaines has the highest proportion of people (43.7%) with an annual income of up to $100,000.","Sainte-Anne-des-Plaines compte la plus grande proportion de personnes (43,7 %) ayant un revenu annuel allant jusqu'à 100 000 $."
"Half of Montreal has a proportion of 29.0% or less people with an annual income below $50,000, and 10% of Montreal has a proportion of 49.2% or higher with an annual income below $50,000.","La moitié de Montréal a une proportion de 29,0 % ou moins de personnes ayant un revenu annuel inférieur à 50 000 $, et 10 % de Montréal a une proportion de 49,2 % ou plus de personnes ayant un revenu annuel inférieur à 50 000 $."
"Montreal-Nord has the lowest median income in Montreal ($43,240.1), followed by Villeray-Saint-Michel-Parc-Extension ($43,910.8).","Montréal-Nord a le revenu médian le plus bas de Montréal (43 240,1 $), suivi de Villeray-Saint-Michel-Parc-Extension (43 910,8 $)."
"Hampstead has the highest median income in Montreal ($134,155.3), followed by Westmount ($1,333,333.9), Sainte-Anne-de-Bellevue ($130,552.9), Mont-Royal ($130,019.4), and Beaconsfield ($129,911.4).","Hampstead a le revenu médian le plus élevé à Montréal (134 155,3 $), suivi de Westmount (1 333 333,9 $), Sainte-Anne-de-Bellevue (130 552,9 $), Mont-Royal (130 019,4 $) et Beaconsfield (129 911,4 $)."
"Sainte-Julie, Notre-Dame-de-l'Île-Perrot, Oka, Pointe-Calumet, and Charlemagne have less than 0.2% new immigrants.","Sainte-Julie, Notre-Dame-de-l'Île-Perrot, Oka, Pointe-Calumet, et Charlemagne ont moins de 0.2% de nouveaux immigrants."
"Sainte-Julie has 0.0% immigrants, and Pointe-Calumet has the next lowest proportion at 2.1%.","Sainte-Julie compte 0,0 % d'immigrants, et Pointe-Calumet a la deuxième plus basse proportion avec 2,1 %."
"Saint-Laurent has the highest proportion of new immigrants (12.1%), followed by Côte-des-Neiges-Notre-Dame-de-Grâce (12.0%).","Saint-Laurent a la plus grande proportion de nouveaux immigrants (12,1 %), suivie de Côte-des-Neiges-Notre-Dame-de-Grâce (12,0 %)."
Saint-Laurent has the highest proportion of immigrants (53.6%) and also the highest proportion of new immigrants (12.1%).,"Saint-Laurent a la plus grande proportion d'immigrants (53,6 %) et aussi la plus grande proportion de nouveaux immigrants (12,1 %)."
Half of areas in Montreal has a proportion of immigrants 22.6% of higher (50th percentile).,"La moitié des quartiers de Montréal ont une proportion d'immigrants de 22,6 % ou plus (50e percentile)."
"50% of areas in Montreal have new immigrant proportions of 2.8% or lower, and 10% have proportions above 8.3%.","50 % des quartiers de Montréal ont une proportion de nouveaux immigrants de 2,8 % ou moins, et 10 % ont une proportion supérieure à 8,3 %."
The proportion of people who walk or bike to work in Montreal ranges between 0.0% (Saint-Isidore) and 36.0% (Le Plateau-Mont-Royal).,"La proportion de personnes qui se rendent au travail à Montréal à pied ou à vélo varie entre 0,0 % (Saint-Isidore) et 36,0 % (Le Plateau-Mont-Royal)."
"50% of areas in Montreal have proportions of people who walk or bike to work lower than 4.4%, and 10% of areas have proportions higher than 11.7%.","50 % des quartiers de Montréal ont des proportions de personnes qui se rendent au travail à pied ou à vélo inférieures à 4,4 %, et 10 % des quartiers ont des proportions supérieures à 11,7 %."
The proportion of people who take public tansit to work in Montreal ranges between 3.0% (Mirabel) and 46.7% (Côte-des-Neiges-Notre-Dame-de-Grâce).,"La proportion de personnes qui prennent le transport en commun pour aller travailler à Montréal varie entre 3,0 % (Mirabel) et 46,7 % (Côte-des-Neiges-Notre-Dame-de-Grâce)."
"Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of people who take public transit to work (46.7%), followed by Villeray-Saint-Michel-Parc-Extension (45.2%).","Côte-des-Neiges-Notre-Dame-de-Grâce compte la plus grande proportion de personnes qui prennent le transport en commun pour se rendre au travail (46,7 %), suivi de Villeray-Saint-Michel-Parc-Extension (45,2 %)."
50% of areas in Montreal have proportions of people who take transit to work lower than 16.8%.,"Dans 50 % des quartiers de Montréal, la proportion de personnes qui prennent le transport en commun pour se rendre au travail est inférieure à 16,8 %."
10% of areas in Montreal have proportions of people taking transit to work higher than 36.0%.,"Dans 10 % des quartiers de Montréal, la proportion de personnes qui prennent le transport en commun pour se rendre au travail est supérieure à 36,0 %."
The proportion of people who drive to work ranges from 24.9% (Le Plateau-Mont-Royal) and 95.7% (Saint-Isidore).,"La proportion de personnes qui se rendent au travail en voiture varie entre 24,9% (Le Plateau-Mont-Royal) et 95,7% (Saint-Isidore)."
90% of areas in Montreal have proportions higher than 48.0% of people who drive to work.,"90 % des quartiers de Montréal ont des proportions supérieures à 48,0 % de personnes qui se rendent au travail en voiture."
>>>>>>> 085c23eaeab16e8cd45f4376fd60e18b5f44ad57
